timestamp,open,high,low,close
2026-08-24T00:00:00Z,100,101,99,100
2026-08-24T01:00:00Z,100,102,98,101
2026-08-24T03:00:00Z,101,103,99,102
2026-08-24T05:59:00Z,102,103,97,98
2026-08-24T06:00:00Z,98,101,98,100
2026-08-24T08:00:00Z,100,104,99,103
2026-08-24T10:00:00Z,103,105,96,98
2026-08-24T11:59:00Z,98,104,97,101
2026-08-24T13:00:00Z,101,102,100,101.5
2026-08-24T13:01:00Z,104,106,104,105
2026-08-24T13:02:00Z,105,105.5,100,100.5
2026-08-24T13:03:00Z,100.5,103,99,99.5
2026-08-24T13:04:00Z,99.5,103,98,98.5
2026-08-24T13:05:00Z,98.5,99,96.5,97
